No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
118,ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,USA,76.25B,47.58,160.87,0.25%,"2,516,259"
119,CNI,Canadian National Railway Company,Industrials,Railroads,Canada,76.08B,28.48,105.13,-1.83%,"550,209"
120,MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,USA,75.93B,-,39.84,-2.50%,"22,689,137"
121,PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,USA,74.69B,38.54,99.52,-1.56%,"4,504,589"
122,TGT,Target Corporation,Consumer Defensive,Discount Stores,USA,73.90B,21.54,148.82,0.82%,"3,602,671"
123,BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,USA,73.19B,29.26,1732.28,-3.07%,"628,726"
124,SE,Sea Limited,Communication Services,Electronic Gaming & Multimedia,Singapore,72.71B,-,147.55,-1.03%,"2,541,568"
125,VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,USA,70.71B,33.54,265.39,-2.24%,"2,138,132"
126,FISV,"Fiserv, Inc.",Technology,Information Technology Services,USA,69.51B,82.34,103.50,-0.29%,"15,878,471"
127,DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,USA,68.92B,26.28,221.97,0.92%,"3,061,593"
128,CCI,Crown Castle International Corp. (REIT),Real Estate,REIT - Specialty,USA,68.26B,92.35,159.68,-1.83%,"3,013,768"
129,D,"Dominion Energy, Inc.",Utilities,Utilities - Diversified,USA,67.08B,120.49,77.96,-2.33%,"6,469,091"
130,TJX,"The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,USA,67.08B,99.15,56.02,0.14%,"6,565,919"
131,GS,"The Goldman Sachs Group, Inc.",Financial,Capital Markets,USA,67.04B,14.82,194.86,0.02%,"9,063,948"
132,EQIX,"Equinix, Inc. (REIT)",Real Estate,REIT - Specialty,USA,66.92B,130.57,752.07,-0.47%,"420,780"
133,APD,"Air Products and Chemicals, Inc.",Basic Materials,Chemicals,USA,66.71B,34.29,295.81,-2.04%,"1,149,605"
134,SNP,China Petroleum & Chemical Corporation,Energy,Oil & Gas Integrated,China,66.61B,99.21,42.96,-1.24%,"196,944"
135,BP,BP p.l.c.,Energy,Oil & Gas Integrated,United Kingdom,66.25B,-,18.88,-3.48%,"19,364,194"
136,ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans,USA,66.15B,11.48,264.19,0.45%,"2,161,123"
137,BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,USA,66.03B,81.65,231.90,1.80%,"3,962,121"
138,CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,USA,65.77B,25.33,75.83,-1.15%,"4,558,575"
139,NTES,"NetEase, Inc.",Communication Services,Internet Content & Information,China,64.96B,25.96,466.07,-0.84%,"902,811"
140,UBER,"Uber Technologies, Inc.",Technology,Software - Application,USA,64.95B,-,37.12,0.16%,"68,416,839"
141,BEKE,KE Holdings Inc.,Real Estate,Real Estate Services,China,64.89B,-,58.37,1.42%,"2,224,196"
142,SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,USA,64.88B,37.06,695.49,-2.39%,"764,798"
143,SQ,"Square, Inc.",Technology,Software - Infrastructure,USA,64.60B,321.53,145.01,-0.43%,"8,796,102"
144,FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,USA,64.09B,35.80,242.78,-0.53%,"4,324,805"
